Time	Node	Type	Packets	
5	bb-6	CacheMisses	51
5	bb-7	CacheHits	53
5	bb-7	CacheMisses	54
5	bb-8	CacheHits	48
5	bb-8	CacheMisses	48
5	cgw-1	CacheHits	62
5	cgw-1	CacheMisses	45
5	cgw-2	CacheHits	54
5	cgw-2	CacheMisses	52
5	cgw-3	CacheHits	0
5	cgw-3	CacheMisses	54
5	cgw-4	CacheHits	48
5	cgw-4	CacheMisses	52
5	cgw-5	CacheHits	49
5	cgw-5	CacheMisses	53
5	cgw-6	CacheHits	60
5	cgw-6	CacheMisses	51
5	cgw-7	CacheHits	0
5	cgw-7	CacheMisses	48
5	cgw-8	CacheHits	53
5	cgw-8	CacheMisses	48
5	leaf-1	CacheHits	0
5	leaf-1	CacheMisses	62
5	leaf-2	CacheHits	0
5	leaf-2	CacheMisses	45
5	leaf-3	CacheHits	0
5	leaf-3	CacheMisses	53
5	leaf-4	CacheHits	0
5	leaf-4	CacheMisses	55
5	leaf-5	CacheHits	0
5	leaf-5	CacheMisses	52
5	leaf-6	CacheHits	0
5	leaf-6	CacheMisses	0
5	leaf-7	CacheHits	0
5	leaf-7	CacheMisses	48
5	leaf-8	CacheHits	0
5	leaf-8	CacheMisses	52
5	leaf-9	CacheHits	0
5	leaf-9	CacheMisses	55
5	leaf-10	CacheHits	0
5	leaf-10	CacheMisses	51
5	leaf-11	CacheHits	0
5	leaf-11	CacheMisses	50
5	leaf-12	CacheHits	0
5	leaf-12	CacheMisses	60
5	leaf-13	CacheHits	0
5	leaf-13	CacheMisses	0
5	leaf-14	CacheHits	0
5	leaf-14	CacheMisses	48
5	leaf-15	CacheHits	0
5	leaf-15	CacheMisses	54
5	leaf-16	CacheHits	0
5	leaf-16	CacheMisses	50
5.5	gw-root	CacheHits	0
5.5	gw-root	CacheMisses	57
5.5	bb-1	CacheHits	0
5.5	bb-1	CacheMisses	56
5.5	bb-2	CacheHits	65
5.5	bb-2	CacheMisses	56
5.5	bb-3	CacheHits	42
5.5	bb-3	CacheMisses	55
5.5	bb-4	CacheHits	50
5.5	bb-4	CacheMisses	60
5.5	bb-5	CacheHits	54
5.5	bb-5	CacheMisses	48
5.5	bb-6	CacheHits	54
5.5	bb-6	CacheMisses	55
5.5	bb-7	CacheHits	48
5.5	bb-7	CacheMisses	59
5.5	bb-8	CacheHits	59
5.5	bb-8	CacheMisses	50
5.5	cgw-1	CacheHits	40
5.5	cgw-1	CacheMisses	49
5.5	cgw-2	CacheHits	42
5.5	cgw-2	CacheMisses	49
5.5	cgw-3	CacheHits	0
5.5	cgw-3	CacheMisses	57
5.5	cgw-4	CacheHits	51
5.5	cgw-4	CacheMisses	54
5.5	cgw-5	CacheHits	49
5.5	cgw-5	CacheMisses	60
5.5	cgw-6	CacheHits	56
5.5	cgw-6	CacheMisses	48
5.5	cgw-7	CacheHits	0
5.5	cgw-7	CacheMisses	49
5.5	cgw-8	CacheHits	48
5.5	cgw-8	CacheMisses	59
5.5	leaf-1	CacheHits	0
5.5	leaf-1	CacheMisses	50
5.5	leaf-2	CacheHits	0
5.5	leaf-2	CacheMisses	49
5.5	leaf-3	CacheHits	0
5.5	leaf-3	CacheMisses	42
5.5	leaf-4	CacheHits	0
5.5	leaf-4	CacheMisses	47
5.5	leaf-5	CacheHits	0
5.5	leaf-5	CacheMisses	58
5.5	leaf-6	CacheHits	0
5.5	leaf-6	CacheMisses	0
5.5	leaf-7	CacheHits	0
5.5	leaf-7	CacheMisses	52
5.5	leaf-8	CacheHits	0
5.5	leaf-8	CacheMisses	57
5.5	leaf-9	CacheHits	0
5.5	leaf-9	CacheMisses	48
5.5	leaf-10	CacheHits	0
5.5	leaf-10	CacheMisses	61
5.5	leaf-11	CacheHits	0
5.5	leaf-11	CacheMisses	48
5.5	leaf-12	CacheHits	0
5.5	leaf-12	CacheMisses	56
5.5	leaf-13	CacheHits	0
5.5	leaf-13	CacheMisses	0
5.5	leaf-14	CacheHits	0
5.5	leaf-14	CacheMisses	49
5.5	leaf-15	CacheHits	0
5.5	leaf-15	CacheMisses	48
5.5	leaf-16	CacheHits	0
5.5	leaf-16	CacheMisses	56
6	gw-root	CacheHits	0
6	gw-root	CacheMisses	55
6	bb-1	CacheHits	10
6	bb-1	CacheMisses	55
6	bb-2	CacheHits	74
6	bb-2	CacheMisses	53
6	bb-3	CacheHits	31
6	bb-3	CacheMisses	54
6	bb-4	CacheHits	57
6	bb-4	CacheMisses	58
6	bb-5	CacheHits	65
6	bb-5	CacheMisses	65
6	bb-6	CacheHits	55
6	bb-6	CacheMisses	52
6	bb-7	CacheHits	57
6	bb-7	CacheMisses	58
6	bb-8	CacheHits	44
6	bb-8	CacheMisses	58
6	cgw-1	CacheHits	25
6	cgw-1	CacheMisses	48
6	cgw-2	CacheHits	55
6	cgw-2	CacheMisses	64
6	cgw-3	CacheHits	0
6	cgw-3	CacheMisses	52
6	cgw-4	CacheHits	51
6	cgw-4	CacheMisses	52
6	cgw-5	CacheHits	46
6	cgw-5	CacheMisses	57
6	cgw-6	CacheHits	53
6	cgw-6	CacheMisses	58
6	cgw-7	CacheHits	0
6	cgw-7	CacheMisses	53
6	cgw-8	CacheHits	55
6	cgw-8	CacheMisses	65
6	leaf-1	CacheHits	0
6	leaf-1	CacheMisses	50
6	leaf-2	CacheHits	0
6	leaf-2	CacheMisses	46
6	leaf-3	CacheHits	0
6	leaf-3	CacheMisses	57
6	leaf-4	CacheHits	0
6	leaf-4	CacheMisses	63
6	leaf-5	CacheHits	0
6	leaf-5	CacheMisses	51
6	leaf-6	CacheHits	0
6	leaf-6	CacheMisses	0
6	leaf-7	CacheHits	0
